C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2001;AT342;7561,0;28500,0;0,0;0,0;0,0
A10-2001;ATZZZ;110,0;0,0;0,0;0,0;0,0
A10-2001;AT11;5032,0;18200,0;44900,0;0,9;0,8
A10-2001;AT12;33936,0;22000,0;50700,0;-1,2;-1,5
A10-2001;AT13;58318,0;37300,0;65100,0;1,5;0,8
A10-2001;AT21;12846,0;23000,0;50600,0;0,9;0,9
A10-2001;AT22;28375,0;23900,0;49900,0;1,5;1,3
A10-2001;AT31;36846,0;26800,0;54800,0;3,2;2,9
A10-2001;AT32;15414,0;29900,0;54700,0;1,1;0,7
A10-2001;AT33;18613,0;27600,0;53300,0;2,4;1,8
A10-2001;AT34;9884,0;28100,0;57300,0;1,1;0,5
A10-2001;ATZZ;110,0;0,0;66700,0;-1,4;0,0
A10-2001;AT1;97286,0;28800,0;58000,0;0,5;0,0
A10-2001;AT2;41221,0;23600,0;50100,0;1,3;1,2
A10-2001;AT3;80756,0;27700,0;54700,0;2,3;1,9
A10-2001;ATZ;110,0;0,0;66700,0;-1,4;0,0
A10-2002;AT111;599,0;15900,0;0,0;0,0;0,0
A10-2002;AT112;2785,0;19700,0;0,0;0,0;0,0
A10-2002;AT113;1821,0;18700,0;0,0;0,0;0,0
A10-2002;AT121;4741,0;20000,0;0,0;0,0;0,0
A10-2002;AT122;5050,0;20500,0;0,0;0,0;0,0
A10-2002;AT123;3922,0;27500,0;0,0;0,0;0,0
A10-2002;AT124;4248,0;19000,0;0,0;0,0;0,0
A10-2002;AT125;1755,0;14200,0;0,0;0,0;0,0
A10-2002;AT126;5369,0;19200,0;0,0;0,0;0,0
A10-2002;AT127;9380,0;31800,0;0,0;0,0;0,0
A10-2002;AT130;60608,0;38300,0;0,0;0,0;0,0
A10-2002;AT211;7665,0;28400,0;0,0;0,0;0,0
A10-2002;AT212;2480,0;18900,0;0,0;0,0;0,0
A10-2002;AT213;3023,0;19100,0;0,0;0,0;0,0
A10-2002;AT221;12506,0;34100,0;0,0;0,0;0,0
A10-2002;AT222;1801,0;22100,0;0,0;0,0;0,0
A10-2002;AT223;4053,0;23200,0;0,0;0,0;0,0
A10-2002;AT224;4688,0;17500,0;0,0;0,0;0,0
A10-2002;AT225;3402,0;17900,0;0,0;0,0;0,0
A10-2002;AT226;2273,0;21000,0;0,0;0,0;0,0
A10-2002;AT311;5526,0;20300,0;0,0;0,0;0,0
A10-2002;AT312;19252,0;36500,0;0,0;0,0;0,0
A10-2002;AT313;2948,0;14600,0;0,0;0,0;0,0
A10-2002;AT314;4186,0;27500,0;0,0;0,0;0,0
A10-2002;AT315;5662,0;25000,0;0,0;0,0;0,0
A10-2002;AT321;419,0;19800,0;0,0;0,0;0,0
A10-2002;AT322;3956,0;24500,0;0,0;0,0;0,0
A10-2002;AT323;11475,0;34400,0;0,0;0,0;0,0
A10-2002;AT331;920,0;29100,0;0,0;0,0;0,0
A10-2002;AT332;8603,0;32000,0;0,0;0,0;0,0
A10-2002;AT333;1002,0;19900,0;0,0;0,0;0,0
A10-2002;AT334;2399,0;24800,0;0,0;0,0;0,0
A10-2002;AT335;6273,0;27300,0;0,0;0,0;0,0
A10-2002;AT341;2407,0;27600,0;0,0;0,0;0,0
A10-2002;AT342;7778,0;29200,0;0,0;0,0;0,0
A10-2002;ATZZZ;111,0;0,0;0,0;0,0;0,0
A10-2002;AT11;5205,0;18800,0;46400,0;2,2;2,2
A10-2002;AT12;34465,0;22300,0;51500,0;0,1;-0,2
A10-2002;AT13;60608,0;38300,0;67400,0;3,2;1,9
A10-2002;AT21;13169,0;23500,0;52000,0;1,3;1,4
A10-2002;AT22;28723,0;24200,0;50500,0;0,0;-0,2
A10-2002;AT31;37575,0;27200,0;55900,0;1,0;0,6
A10-2002;AT32;15850,0;30700,0;56100,0;1,5;1,3
A10-2002;AT33;19198,0;28400,0;54900,0;1,5;0,9
A10-2002;AT34;10185,0;28800,0;59300,0;1,7;1,1
A10-2002;ATZZ;111,0;0,0;68400,0;-0,2;0,0
A10-2002;AT1;100278,0;29400,0;59700,0;2,1;1,3
A10-2002;AT2;41891,0;24000,0;51000,0;0,4;0,3
A10-2002;AT3;82808,0;28300,0;56100,0;1,3;0,9
A10-2002;ATZ;111,0;0,0;68400,0;-0,2;0,0
A10-2003;AT111;636,0;16900,0;0,0;0,0;0,0
A10-2003;AT112;2847,0;20100,0;0,0;0,0;0,0
A10-2003;AT113;1777,0;18300,0;0,0;0,0;0,0
A10-2003;AT121;4826,0;20300,0;0,0;0,0;0,0
A10-2003;AT122;5192,0;21000,0;0,0;0,0;0,0
A10-2003;AT123;3971,0;27700,0;0,0;0,0;0,0
A10-2003;AT124;4343,0;19500,0;0,0;0,0;0,0
A10-2003;AT125;1785,0;14500,0;0,0;0,0;0,0
A10-2003;AT126;5428,0;19300,0;0,0;0,0;0,0
A10-2003;AT127;9716,0;32700,0;0,0;0,0;0,0
A10-2003;AT130;61305,0;38300,0;0,0;0,0;0,0
A10-2003;AT211;7814,0;29000,0;0,0;0,0;0,0
A10-2003;AT212;2519,0;19200,0;0,0;0,0;0,0
A10-2003;AT213;3161,0;20100,0;0,0;0,0;0,0
A10-2003;AT221;13169,0;35600,0;0,0;0,0;0,0
A10-2003;AT222;1783,0;21900,0;0,0;0,0;0,0
A10-2003;AT223;4081,0;23600,0;0,0;0,0;0,0
A10-2003;AT224;4942,0;18500,0;0,0;0,0;0,0
A10-2003;AT225;3587,0;18900,0;0,0;0,0;0,0
A10-2003;AT226;2206,0;20500,0;0,0;0,0;0,0
A10-2003;AT311;5668,0;20800,0;0,0;0,0;0,0
A10-2003;AT312;20171,0;38000,0;0,0;0,0;0,0
A10-2003;AT313;2971,0;14700,0;0,0;0,0;0,0
A10-2003;AT314;4356,0;28600,0;0,0;0,0;0,0
A10-2003;AT315;5649,0;24900,0;0,0;0,0;0,0
A10-2003;AT321;435,0;20600,0;0,0;0,0;0,0
A10-2003;AT322;4083,0;25200,0;0,0;0,0;0,0
A10-2003;AT323;11863,0;35400,0;0,0;0,0;0,0
A10-2003;AT331;933,0;29400,0;0,0;0,0;0,0
A10-2003;AT332;8852,0;32800,0;0,0;0,0;0,0
A10-2003;AT333;1012,0;20200,0;0,0;0,0;0,0
A10-2003;AT334;2495,0;25500,0;0,0;0,0;0,0
