C-DEMIND_ZEIT-0;C-DEMIND_NUTS3-0;F-DEMIND_TFR
DEMIND_ZEIT-2012;GRNU-AT223;1,337
DEMIND_ZEIT-2012;GRNU-AT224;1,473
DEMIND_ZEIT-2012;GRNU-AT225;1,437
DEMIND_ZEIT-2012;GRNU-AT226;1,441
DEMIND_ZEIT-2012;GRNU-AT311;1,525
DEMIND_ZEIT-2012;GRNU-AT312;1,540
DEMIND_ZEIT-2012;GRNU-AT313;1,623
DEMIND_ZEIT-2012;GRNU-AT314;1,558
DEMIND_ZEIT-2012;GRNU-AT315;1,568
DEMIND_ZEIT-2012;GRNU-AT321;1,667
DEMIND_ZEIT-2012;GRNU-AT322;1,493
DEMIND_ZEIT-2012;GRNU-AT323;1,438
DEMIND_ZEIT-2012;GRNU-AT331;1,441
DEMIND_ZEIT-2012;GRNU-AT332;1,396
DEMIND_ZEIT-2012;GRNU-AT333;1,450
DEMIND_ZEIT-2012;GRNU-AT334;1,461
DEMIND_ZEIT-2012;GRNU-AT335;1,505
DEMIND_ZEIT-2012;GRNU-AT341;1,465
DEMIND_ZEIT-2012;GRNU-AT342;1,587
DEMIND_ZEIT-2012;GRNU-AT11;1,298
DEMIND_ZEIT-2012;GRNU-AT12;1,486
DEMIND_ZEIT-2012;GRNU-AT13;1,405
DEMIND_ZEIT-2012;GRNU-AT21;1,410
DEMIND_ZEIT-2012;GRNU-AT22;1,358
DEMIND_ZEIT-2012;GRNU-AT31;1,553
DEMIND_ZEIT-2012;GRNU-AT32;1,462
DEMIND_ZEIT-2012;GRNU-AT33;1,442
DEMIND_ZEIT-2012;GRNU-AT34;1,558
DEMIND_ZEIT-2012;GRNU-AT1;1,418
DEMIND_ZEIT-2012;GRNU-AT2;1,373
DEMIND_ZEIT-2012;GRNU-AT3;1,510
DEMIND_ZEIT-2012;GRNU-AT0;1,441
DEMIND_ZEIT-2013;GRNU-AT111;1,277
DEMIND_ZEIT-2013;GRNU-AT112;1,284
DEMIND_ZEIT-2013;GRNU-AT113;1,257
DEMIND_ZEIT-2013;GRNU-AT121;1,600
DEMIND_ZEIT-2013;GRNU-AT122;1,509
DEMIND_ZEIT-2013;GRNU-AT123;1,513
DEMIND_ZEIT-2013;GRNU-AT124;1,400
DEMIND_ZEIT-2013;GRNU-AT125;1,420
DEMIND_ZEIT-2013;GRNU-AT126;1,449
DEMIND_ZEIT-2013;GRNU-AT127;1,435
DEMIND_ZEIT-2013;GRNU-AT130;1,404
DEMIND_ZEIT-2013;GRNU-AT211;1,334
DEMIND_ZEIT-2013;GRNU-AT212;1,510
DEMIND_ZEIT-2013;GRNU-AT213;1,487
DEMIND_ZEIT-2013;GRNU-AT221;1,271
DEMIND_ZEIT-2013;GRNU-AT222;1,389
DEMIND_ZEIT-2013;GRNU-AT223;1,385
DEMIND_ZEIT-2013;GRNU-AT224;1,492
DEMIND_ZEIT-2013;GRNU-AT225;1,346
DEMIND_ZEIT-2013;GRNU-AT226;1,491
DEMIND_ZEIT-2013;GRNU-AT311;1,509
DEMIND_ZEIT-2013;GRNU-AT312;1,535
DEMIND_ZEIT-2013;GRNU-AT313;1,560
DEMIND_ZEIT-2013;GRNU-AT314;1,616
DEMIND_ZEIT-2013;GRNU-AT315;1,595
DEMIND_ZEIT-2013;GRNU-AT321;1,155
DEMIND_ZEIT-2013;GRNU-AT322;1,544
DEMIND_ZEIT-2013;GRNU-AT323;1,478
DEMIND_ZEIT-2013;GRNU-AT331;1,391
DEMIND_ZEIT-2013;GRNU-AT332;1,345
DEMIND_ZEIT-2013;GRNU-AT333;1,489
DEMIND_ZEIT-2013;GRNU-AT334;1,493
DEMIND_ZEIT-2013;GRNU-AT335;1,548
DEMIND_ZEIT-2013;GRNU-AT341;1,531
DEMIND_ZEIT-2013;GRNU-AT342;1,516
DEMIND_ZEIT-2013;GRNU-AT11;1,275
DEMIND_ZEIT-2013;GRNU-AT12;1,480
DEMIND_ZEIT-2013;GRNU-AT13;1,404
DEMIND_ZEIT-2013;GRNU-AT21;1,411
DEMIND_ZEIT-2013;GRNU-AT22;1,351
DEMIND_ZEIT-2013;GRNU-AT31;1,549
DEMIND_ZEIT-2013;GRNU-AT32;1,485
DEMIND_ZEIT-2013;GRNU-AT33;1,438
DEMIND_ZEIT-2013;GRNU-AT34;1,518
DEMIND_ZEIT-2013;GRNU-AT1;1,413
DEMIND_ZEIT-2013;GRNU-AT2;1,368
DEMIND_ZEIT-2013;GRNU-AT3;1,506
DEMIND_ZEIT-2013;GRNU-AT0;1,437
DEMIND_ZEIT-2014;GRNU-AT111;1,400
DEMIND_ZEIT-2014;GRNU-AT112;1,340
DEMIND_ZEIT-2014;GRNU-AT113;1,287
DEMIND_ZEIT-2014;GRNU-AT121;1,624
DEMIND_ZEIT-2014;GRNU-AT122;1,532
DEMIND_ZEIT-2014;GRNU-AT123;1,514
DEMIND_ZEIT-2014;GRNU-AT124;1,393
DEMIND_ZEIT-2014;GRNU-AT125;1,415
DEMIND_ZEIT-2014;GRNU-AT126;1,500
DEMIND_ZEIT-2014;GRNU-AT127;1,492
DEMIND_ZEIT-2014;GRNU-AT130;1,409
DEMIND_ZEIT-2014;GRNU-AT211;1,376
DEMIND_ZEIT-2014;GRNU-AT212;1,535
DEMIND_ZEIT-2014;GRNU-AT213;1,440
DEMIND_ZEIT-2014;GRNU-AT221;1,300
DEMIND_ZEIT-2014;GRNU-AT222;1,465
DEMIND_ZEIT-2014;GRNU-AT223;1,317
DEMIND_ZEIT-2014;GRNU-AT224;1,565
DEMIND_ZEIT-2014;GRNU-AT225;1,302
DEMIND_ZEIT-2014;GRNU-AT226;1,407
DEMIND_ZEIT-2014;GRNU-AT311;1,513
DEMIND_ZEIT-2014;GRNU-AT312;1,596
DEMIND_ZEIT-2014;GRNU-AT313;1,718
DEMIND_ZEIT-2014;GRNU-AT314;1,614
DEMIND_ZEIT-2014;GRNU-AT315;1,678
DEMIND_ZEIT-2014;GRNU-AT321;1,605
DEMIND_ZEIT-2014;GRNU-AT322;1,605
DEMIND_ZEIT-2014;GRNU-AT323;1,521
DEMIND_ZEIT-2014;GRNU-AT331;1,389
DEMIND_ZEIT-2014;GRNU-AT332;1,359
DEMIND_ZEIT-2014;GRNU-AT333;1,530
DEMIND_ZEIT-2014;GRNU-AT334;1,542
DEMIND_ZEIT-2014;GRNU-AT335;1,519
DEMIND_ZEIT-2014;GRNU-AT341;1,575
DEMIND_ZEIT-2014;GRNU-AT342;1,621
DEMIND_ZEIT-2014;GRNU-AT11;1,330
DEMIND_ZEIT-2014;GRNU-AT12;1,508
DEMIND_ZEIT-2014;GRNU-AT13;1,409
DEMIND_ZEIT-2014;GRNU-AT21;1,427
DEMIND_ZEIT-2014;GRNU-AT22;1,359
DEMIND_ZEIT-2014;GRNU-AT31;1,609
DEMIND_ZEIT-2014;GRNU-AT32;1,548
DEMIND_ZEIT-2014;GRNU-AT33;1,444
DEMIND_ZEIT-2014;GRNU-AT34;1,610
DEMIND_ZEIT-2014;GRNU-AT1;1,430
DEMIND_ZEIT-2014;GRNU-AT2;1,378
DEMIND_ZEIT-2014;GRNU-AT3;1,558
DEMIND_ZEIT-2014;GRNU-AT0;1,465
DEMIND_ZEIT-2015;GRNU-AT111;1,385
DEMIND_ZEIT-2015;GRNU-AT112;1,359
DEMIND_ZEIT-2015;GRNU-AT113;1,390
DEMIND_ZEIT-2015;GRNU-AT121;1,627
DEMIND_ZEIT-2015;GRNU-AT122;1,583
DEMIND_ZEIT-2015;GRNU-AT123;1,537
DEMIND_ZEIT-2015;GRNU-AT124;1,480
DEMIND_ZEIT-2015;GRNU-AT125;1,484
DEMIND_ZEIT-2015;GRNU-AT126;1,490
DEMIND_ZEIT-2015;GRNU-AT127;1,457
DEMIND_ZEIT-2015;GRNU-AT130;1,422
DEMIND_ZEIT-2015;GRNU-AT211;1,358
DEMIND_ZEIT-2015;GRNU-AT212;1,516
DEMIND_ZEIT-2015;GRNU-AT213;1,528
DEMIND_ZEIT-2015;GRNU-AT221;1,402
DEMIND_ZEIT-2015;GRNU-AT222;1,534
DEMIND_ZEIT-2015;GRNU-AT223;1,459
DEMIND_ZEIT-2015;GRNU-AT224;1,522
DEMIND_ZEIT-2015;GRNU-AT225;1,468
DEMIND_ZEIT-2015;GRNU-AT226;1,595
DEMIND_ZEIT-2015;GRNU-AT311;1,597
DEMIND_ZEIT-2015;GRNU-AT312;1,574
DEMIND_ZEIT-2015;GRNU-AT313;1,733
DEMIND_ZEIT-2015;GRNU-AT314;1,641
DEMIND_ZEIT-2015;GRNU-AT315;1,621
DEMIND_ZEIT-2015;GRNU-AT321;1,547
DEMIND_ZEIT-2015;GRNU-AT322;1,618
DEMIND_ZEIT-2015;GRNU-AT323;1,517
DEMIND_ZEIT-2015;GRNU-AT331;1,603
DEMIND_ZEIT-2015;GRNU-AT332;1,442
DEMIND_ZEIT-2015;GRNU-AT333;1,658
DEMIND_ZEIT-2015;GRNU-AT334;1,515
DEMIND_ZEIT-2015;GRNU-AT335;1,625
DEMIND_ZEIT-2015;GRNU-AT341;1,649
DEMIND_ZEIT-2015;GRNU-AT342;1,631
DEMIND_ZEIT-2015;GRNU-AT11;1,373
DEMIND_ZEIT-2015;GRNU-AT12;1,526
DEMIND_ZEIT-2015;GRNU-AT13;1,422
DEMIND_ZEIT-2015;GRNU-AT21;1,436
DEMIND_ZEIT-2015;GRNU-AT22;1,447
DEMIND_ZEIT-2015;GRNU-AT31;1,612
DEMIND_ZEIT-2015;GRNU-AT32;1,547
DEMIND_ZEIT-2015;GRNU-AT33;1,526
DEMIND_ZEIT-2015;GRNU-AT34;1,635
DEMIND_ZEIT-2015;GRNU-AT1;1,447
DEMIND_ZEIT-2015;GRNU-AT2;1,443
DEMIND_ZEIT-2015;GRNU-AT3;1,582
DEMIND_ZEIT-2015;GRNU-AT0;1,494
DEMIND_ZEIT-2016;GRNU-AT111;1,411
DEMIND_ZEIT-2016;GRNU-AT112;1,407
DEMIND_ZEIT-2016;GRNU-AT113;1,406
DEMIND_ZEIT-2016;GRNU-AT121;1,704
DEMIND_ZEIT-2016;GRNU-AT122;1,589
DEMIND_ZEIT-2016;GRNU-AT123;1,575
DEMIND_ZEIT-2016;GRNU-AT124;1,603
DEMIND_ZEIT-2016;GRNU-AT125;1,545
DEMIND_ZEIT-2016;GRNU-AT126;1,586
DEMIND_ZEIT-2016;GRNU-AT127;1,524
DEMIND_ZEIT-2016;GRNU-AT130;1,448
DEMIND_ZEIT-2016;GRNU-AT211;1,480
DEMIND_ZEIT-2016;GRNU-AT212;1,561
DEMIND_ZEIT-2016;GRNU-AT213;1,504
DEMIND_ZEIT-2016;GRNU-AT221;1,394
DEMIND_ZEIT-2016;GRNU-AT222;1,573
DEMIND_ZEIT-2016;GRNU-AT223;1,461
DEMIND_ZEIT-2016;GRNU-AT224;1,561
DEMIND_ZEIT-2016;GRNU-AT225;1,424
DEMIND_ZEIT-2016;GRNU-AT226;1,552
DEMIND_ZEIT-2016;GRNU-AT311;1,703
DEMIND_ZEIT-2016;GRNU-AT312;1,626
DEMIND_ZEIT-2016;GRNU-AT313;1,750
DEMIND_ZEIT-2016;GRNU-AT314;1,669
DEMIND_ZEIT-2016;GRNU-AT315;1,760
DEMIND_ZEIT-2016;GRNU-AT321;1,555
DEMIND_ZEIT-2016;GRNU-AT322;1,677
DEMIND_ZEIT-2016;GRNU-AT323;1,523
DEMIND_ZEIT-2016;GRNU-AT331;1,482
DEMIND_ZEIT-2016;GRNU-AT332;1,401
DEMIND_ZEIT-2016;GRNU-AT333;1,461
DEMIND_ZEIT-2016;GRNU-AT334;1,582
DEMIND_ZEIT-2016;GRNU-AT335;1,650
DEMIND_ZEIT-2016;GRNU-AT341;1,806
DEMIND_ZEIT-2016;GRNU-AT342;1,677
DEMIND_ZEIT-2016;GRNU-AT11;1,408
DEMIND_ZEIT-2016;GRNU-AT12;1,593
DEMIND_ZEIT-2016;GRNU-AT13;1,448
DEMIND_ZEIT-2016;GRNU-AT21;1,503
DEMIND_ZEIT-2016;GRNU-AT22;1,444
DEMIND_ZEIT-2016;GRNU-AT31;1,680
DEMIND_ZEIT-2016;GRNU-AT32;1,569
DEMIND_ZEIT-2016;GRNU-AT33;1,507
DEMIND_ZEIT-2016;GRNU-AT34;1,706
DEMIND_ZEIT-2016;GRNU-AT1;1,489
DEMIND_ZEIT-2016;GRNU-AT2;1,460
DEMIND_ZEIT-2016;GRNU-AT3;1,620
DEMIND_ZEIT-2016;GRNU-AT0;1,529
DEMIND_ZEIT-2017;GRNU-AT111;1,361
DEMIND_ZEIT-2017;GRNU-AT112;1,344
DEMIND_ZEIT-2017;GRNU-AT113;1,383
DEMIND_ZEIT-2017;GRNU-AT121;1,703
DEMIND_ZEIT-2017;GRNU-AT122;1,571
DEMIND_ZEIT-2017;GRNU-AT123;1,631
DEMIND_ZEIT-2017;GRNU-AT124;1,582
DEMIND_ZEIT-2017;GRNU-AT125;1,422
DEMIND_ZEIT-2017;GRNU-AT126;1,547
DEMIND_ZEIT-2017;GRNU-AT127;1,511
DEMIND_ZEIT-2017;GRNU-AT130;1,414
DEMIND_ZEIT-2017;GRNU-AT211;1,449
DEMIND_ZEIT-2017;GRNU-AT212;1,566
DEMIND_ZEIT-2017;GRNU-AT213;1,611
DEMIND_ZEIT-2017;GRNU-AT221;1,358
DEMIND_ZEIT-2017;GRNU-AT222;1,576
DEMIND_ZEIT-2017;GRNU-AT223;1,519
DEMIND_ZEIT-2017;GRNU-AT224;1,657
DEMIND_ZEIT-2017;GRNU-AT225;1,485
DEMIND_ZEIT-2017;GRNU-AT226;1,531
DEMIND_ZEIT-2017;GRNU-AT311;1,675
DEMIND_ZEIT-2017;GRNU-AT312;1,629
DEMIND_ZEIT-2017;GRNU-AT313;1,745
DEMIND_ZEIT-2017;GRNU-AT314;1,640
DEMIND_ZEIT-2017;GRNU-AT315;1,690
DEMIND_ZEIT-2017;GRNU-AT321;1,603
DEMIND_ZEIT-2017;GRNU-AT322;1,677
DEMIND_ZEIT-2017;GRNU-AT323;1,583
DEMIND_ZEIT-2017;GRNU-AT331;1,417
DEMIND_ZEIT-2017;GRNU-AT332;1,395
DEMIND_ZEIT-2017;GRNU-AT333;1,753
DEMIND_ZEIT-2017;GRNU-AT334;1,663
DEMIND_ZEIT-2017;GRNU-AT335;1,628
DEMIND_ZEIT-2017;GRNU-AT341;1,741
DEMIND_ZEIT-2017;GRNU-AT342;1,655
DEMIND_ZEIT-2017;GRNU-AT11;1,359
DEMIND_ZEIT-2017;GRNU-AT12;1,574
DEMIND_ZEIT-2017;GRNU-AT13;1,414
DEMIND_ZEIT-2017;GRNU-AT21;1,514
DEMIND_ZEIT-2017;GRNU-AT22;1,463
DEMIND_ZEIT-2017;GRNU-AT31;1,662
DEMIND_ZEIT-2017;GRNU-AT32;1,611
DEMIND_ZEIT-2017;GRNU-AT33;1,524
DEMIND_ZEIT-2017;GRNU-AT34;1,674
DEMIND_ZEIT-2017;GRNU-AT1;1,458
DEMIND_ZEIT-2017;GRNU-AT2;1,477
DEMIND_ZEIT-2017;GRNU-AT3;1,620
DEMIND_ZEIT-2017;GRNU-AT0;1,518
DEMIND_ZEIT-2018;GRNU-AT111;1,474
DEMIND_ZEIT-2018;GRNU-AT112;1,388
DEMIND_ZEIT-2018;GRNU-AT113;1,314
DEMIND_ZEIT-2018;GRNU-AT121;1,629
DEMIND_ZEIT-2018;GRNU-AT122;1,539
DEMIND_ZEIT-2018;GRNU-AT123;1,509
DEMIND_ZEIT-2018;GRNU-AT124;1,507
DEMIND_ZEIT-2018;GRNU-AT125;1,399
DEMIND_ZEIT-2018;GRNU-AT126;1,516
DEMIND_ZEIT-2018;GRNU-AT127;1,484
DEMIND_ZEIT-2018;GRNU-AT130;1,363
DEMIND_ZEIT-2018;GRNU-AT211;1,386
DEMIND_ZEIT-2018;GRNU-AT212;1,477
DEMIND_ZEIT-2018;GRNU-AT213;1,532
DEMIND_ZEIT-2018;GRNU-AT221;1,346
DEMIND_ZEIT-2018;GRNU-AT222;1,637
DEMIND_ZEIT-2018;GRNU-AT223;1,389
DEMIND_ZEIT-2018;GRNU-AT224;1,537
DEMIND_ZEIT-2018;GRNU-AT225;1,478
DEMIND_ZEIT-2018;GRNU-AT226;1,484
DEMIND_ZEIT-2018;GRNU-AT311;1,642
DEMIND_ZEIT-2018;GRNU-AT312;1,579
DEMIND_ZEIT-2018;GRNU-AT313;1,729
DEMIND_ZEIT-2018;GRNU-AT314;1,602
DEMIND_ZEIT-2018;GRNU-AT315;1,637
DEMIND_ZEIT-2018;GRNU-AT321;1,424
DEMIND_ZEIT-2018;GRNU-AT322;1,593
DEMIND_ZEIT-2018;GRNU-AT323;1,517
DEMIND_ZEIT-2018;GRNU-AT331;1,480
DEMIND_ZEIT-2018;GRNU-AT332;1,402
DEMIND_ZEIT-2018;GRNU-AT333;1,690
DEMIND_ZEIT-2018;GRNU-AT334;1,655
DEMIND_ZEIT-2018;GRNU-AT335;1,571
DEMIND_ZEIT-2018;GRNU-AT341;1,601
DEMIND_ZEIT-2018;GRNU-AT342;1,700
DEMIND_ZEIT-2018;GRNU-AT11;1,375
DEMIND_ZEIT-2018;GRNU-AT12;1,523
DEMIND_ZEIT-2018;GRNU-AT13;1,363
DEMIND_ZEIT-2018;GRNU-AT21;1,441
DEMIND_ZEIT-2018;GRNU-AT22;1,420
DEMIND_ZEIT-2018;GRNU-AT31;1,621
DEMIND_ZEIT-2018;GRNU-AT32;1,535
DEMIND_ZEIT-2018;GRNU-AT33;1,505
DEMIND_ZEIT-2018;GRNU-AT34;1,678
DEMIND_ZEIT-2018;GRNU-AT1;1,413
DEMIND_ZEIT-2018;GRNU-AT2;1,425
DEMIND_ZEIT-2018;GRNU-AT3;1,584
DEMIND_ZEIT-2018;GRNU-AT0;1,475
DEMIND_ZEIT-2019;GRNU-AT111;1,216
DEMIND_ZEIT-2019;GRNU-AT112;1,415
DEMIND_ZEIT-2019;GRNU-AT113;1,405
DEMIND_ZEIT-2019;GRNU-AT121;1,619
DEMIND_ZEIT-2019;GRNU-AT122;1,494
DEMIND_ZEIT-2019;GRNU-AT123;1,525
DEMIND_ZEIT-2019;GRNU-AT124;1,506
DEMIND_ZEIT-2019;GRNU-AT125;1,498
DEMIND_ZEIT-2019;GRNU-AT126;1,467
DEMIND_ZEIT-2019;GRNU-AT127;1,420
DEMIND_ZEIT-2019;GRNU-AT130;1,348
DEMIND_ZEIT-2019;GRNU-AT211;1,343
DEMIND_ZEIT-2019;GRNU-AT212;1,466
DEMIND_ZEIT-2019;GRNU-AT213;1,466
DEMIND_ZEIT-2019;GRNU-AT221;1,357
DEMIND_ZEIT-2019;GRNU-AT222;1,517
DEMIND_ZEIT-2019;GRNU-AT223;1,420
DEMIND_ZEIT-2019;GRNU-AT224;1,545
DEMIND_ZEIT-2019;GRNU-AT225;1,406
DEMIND_ZEIT-2019;GRNU-AT226;1,497
DEMIND_ZEIT-2019;GRNU-AT311;1,663
DEMIND_ZEIT-2019;GRNU-AT312;1,535
DEMIND_ZEIT-2019;GRNU-AT313;1,704
DEMIND_ZEIT-2019;GRNU-AT314;1,573
DEMIND_ZEIT-2019;GRNU-AT315;1,662
DEMIND_ZEIT-2019;GRNU-AT321;1,435
DEMIND_ZEIT-2019;GRNU-AT322;1,686
DEMIND_ZEIT-2019;GRNU-AT323;1,540
DEMIND_ZEIT-2019;GRNU-AT331;1,526
DEMIND_ZEIT-2019;GRNU-AT332;1,363
DEMIND_ZEIT-2019;GRNU-AT333;1,841
DEMIND_ZEIT-2019;GRNU-AT334;1,628
DEMIND_ZEIT-2019;GRNU-AT335;1,483
DEMIND_ZEIT-2019;GRNU-AT341;1,668
DEMIND_ZEIT-2019;GRNU-AT342;1,680
DEMIND_ZEIT-2019;GRNU-AT11;1,390
DEMIND_ZEIT-2019;GRNU-AT12;1,500
DEMIND_ZEIT-2019;GRNU-AT13;1,348
DEMIND_ZEIT-2019;GRNU-AT21;1,399
DEMIND_ZEIT-2019;GRNU-AT22;1,412
DEMIND_ZEIT-2019;GRNU-AT31;1,604
DEMIND_ZEIT-2019;GRNU-AT32;1,579
DEMIND_ZEIT-2019;GRNU-AT33;1,465
DEMIND_ZEIT-2019;GRNU-AT34;1,677
DEMIND_ZEIT-2019;GRNU-AT1;1,397
DEMIND_ZEIT-2019;GRNU-AT2;1,407
DEMIND_ZEIT-2019;GRNU-AT3;1,574
DEMIND_ZEIT-2019;GRNU-AT0;1,461
DEMIND_ZEIT-2020;GRNU-AT111;1,162
DEMIND_ZEIT-2020;GRNU-AT112;1,384
DEMIND_ZEIT-2020;GRNU-AT113;1,248
DEMIND_ZEIT-2020;GRNU-AT121;1,587
DEMIND_ZEIT-2020;GRNU-AT122;1,561
DEMIND_ZEIT-2020;GRNU-AT123;1,488
DEMIND_ZEIT-2020;GRNU-AT124;1,422
DEMIND_ZEIT-2020;GRNU-AT125;1,519
DEMIND_ZEIT-2020;GRNU-AT126;1,439
DEMIND_ZEIT-2020;GRNU-AT127;1,455
DEMIND_ZEIT-2020;GRNU-AT130;1,289
DEMIND_ZEIT-2020;GRNU-AT211;1,357
DEMIND_ZEIT-2020;GRNU-AT212;1,435
DEMIND_ZEIT-2020;GRNU-AT213;1,588
DEMIND_ZEIT-2020;GRNU-AT221;1,320
DEMIND_ZEIT-2020;GRNU-AT222;1,523
DEMIND_ZEIT-2020;GRNU-AT223;1,333
DEMIND_ZEIT-2020;GRNU-AT224;1,584
DEMIND_ZEIT-2020;GRNU-AT225;1,499
DEMIND_ZEIT-2020;GRNU-AT226;1,514
DEMIND_ZEIT-2020;GRNU-AT311;1,618
DEMIND_ZEIT-2020;GRNU-AT312;1,506
DEMIND_ZEIT-2020;GRNU-AT313;1,654
DEMIND_ZEIT-2020;GRNU-AT314;1,612
DEMIND_ZEIT-2020;GRNU-AT315;1,595
DEMIND_ZEIT-2020;GRNU-AT321;1,643
DEMIND_ZEIT-2020;GRNU-AT322;1,694
DEMIND_ZEIT-2020;GRNU-AT323;1,507
DEMIND_ZEIT-2020;GRNU-AT331;1,555
DEMIND_ZEIT-2020;GRNU-AT332;1,346
DEMIND_ZEIT-2020;GRNU-AT333;1,676
DEMIND_ZEIT-2020;GRNU-AT334;1,643
DEMIND_ZEIT-2020;GRNU-AT335;1,514
DEMIND_ZEIT-2020;GRNU-AT341;1,686
DEMIND_ZEIT-2020;GRNU-AT342;1,615
DEMIND_ZEIT-2020;GRNU-AT11;1,317
DEMIND_ZEIT-2020;GRNU-AT12;1,495
DEMIND_ZEIT-2020;GRNU-AT13;1,289
DEMIND_ZEIT-2020;GRNU-AT21;1,432
DEMIND_ZEIT-2020;GRNU-AT22;1,410
DEMIND_ZEIT-2020;GRNU-AT31;1,570
DEMIND_ZEIT-2020;GRNU-AT32;1,566
DEMIND_ZEIT-2020;GRNU-AT33;1,462
DEMIND_ZEIT-2020;GRNU-AT34;1,630
DEMIND_ZEIT-2020;GRNU-AT1;1,357
DEMIND_ZEIT-2020;GRNU-AT2;1,416
DEMIND_ZEIT-2020;GRNU-AT3;1,550
DEMIND_ZEIT-2020;GRNU-AT0;1,436
DEMIND_ZEIT-2021;GRNU-AT111;1,238
DEMIND_ZEIT-2021;GRNU-AT112;1,400
DEMIND_ZEIT-2021;GRNU-AT113;1,460
DEMIND_ZEIT-2021;GRNU-AT121;1,680
DEMIND_ZEIT-2021;GRNU-AT122;1,511
DEMIND_ZEIT-2021;GRNU-AT123;1,594
DEMIND_ZEIT-2021;GRNU-AT124;1,523
DEMIND_ZEIT-2021;GRNU-AT125;1,508
DEMIND_ZEIT-2021;GRNU-AT126;1,558
DEMIND_ZEIT-2021;GRNU-AT127;1,528
DEMIND_ZEIT-2021;GRNU-AT130;1,297
DEMIND_ZEIT-2021;GRNU-AT211;1,405
DEMIND_ZEIT-2021;GRNU-AT212;1,547
DEMIND_ZEIT-2021;GRNU-AT213;1,490
DEMIND_ZEIT-2021;GRNU-AT221;1,366
DEMIND_ZEIT-2021;GRNU-AT222;1,638
DEMIND_ZEIT-2021;GRNU-AT223;1,493
DEMIND_ZEIT-2021;GRNU-AT224;1,651
DEMIND_ZEIT-2021;GRNU-AT225;1,484
DEMIND_ZEIT-2021;GRNU-AT226;1,582
DEMIND_ZEIT-2021;GRNU-AT311;1,697
DEMIND_ZEIT-2021;GRNU-AT312;1,532
DEMIND_ZEIT-2021;GRNU-AT313;1,701
DEMIND_ZEIT-2021;GRNU-AT314;1,701
DEMIND_ZEIT-2021;GRNU-AT315;1,642
DEMIND_ZEIT-2021;GRNU-AT321;1,593
DEMIND_ZEIT-2021;GRNU-AT322;1,670
DEMIND_ZEIT-2021;GRNU-AT323;1,524
DEMIND_ZEIT-2021;GRNU-AT331;1,456
DEMIND_ZEIT-2021;GRNU-AT332;1,455
DEMIND_ZEIT-2021;GRNU-AT333;1,732
DEMIND_ZEIT-2021;GRNU-AT334;1,596
DEMIND_ZEIT-2021;GRNU-AT335;1,640
DEMIND_ZEIT-2021;GRNU-AT341;1,767
DEMIND_ZEIT-2021;GRNU-AT342;1,637
DEMIND_ZEIT-2021;GRNU-AT11;1,401
DEMIND_ZEIT-2021;GRNU-AT12;1,561
DEMIND_ZEIT-2021;GRNU-AT13;1,297
DEMIND_ZEIT-2021;GRNU-AT21;1,456
DEMIND_ZEIT-2021;GRNU-AT22;1,467
DEMIND_ZEIT-2021;GRNU-AT31;1,619
DEMIND_ZEIT-2021;GRNU-AT32;1,568
DEMIND_ZEIT-2021;GRNU-AT33;1,544
DEMIND_ZEIT-2021;GRNU-AT34;1,665
DEMIND_ZEIT-2021;GRNU-AT1;1,391
DEMIND_ZEIT-2021;GRNU-AT2;1,463
DEMIND_ZEIT-2021;GRNU-AT3;1,597
DEMIND_ZEIT-2021;GRNU-AT0;1,477
DEMIND_ZEIT-2022;GRNU-AT111;1,391
DEMIND_ZEIT-2022;GRNU-AT112;1,321
DEMIND_ZEIT-2022;GRNU-AT113;1,401
DEMIND_ZEIT-2022;GRNU-AT121;1,620
DEMIND_ZEIT-2022;GRNU-AT122;1,428
DEMIND_ZEIT-2022;GRNU-AT123;1,538
DEMIND_ZEIT-2022;GRNU-AT124;1,496
DEMIND_ZEIT-2022;GRNU-AT125;1,397
DEMIND_ZEIT-2022;GRNU-AT126;1,454
DEMIND_ZEIT-2022;GRNU-AT127;1,407
DEMIND_ZEIT-2022;GRNU-AT130;1,254
DEMIND_ZEIT-2022;GRNU-AT211;1,341
DEMIND_ZEIT-2022;GRNU-AT212;1,476
DEMIND_ZEIT-2022;GRNU-AT213;1,473
DEMIND_ZEIT-2022;GRNU-AT221;1,282
DEMIND_ZEIT-2022;GRNU-AT222;1,536
DEMIND_ZEIT-2022;GRNU-AT223;1,326
DEMIND_ZEIT-2022;GRNU-AT224;1,514
DEMIND_ZEIT-2022;GRNU-AT225;1,469
DEMIND_ZEIT-2022;GRNU-AT226;1,526
DEMIND_ZEIT-2022;GRNU-AT311;1,641
DEMIND_ZEIT-2022;GRNU-AT312;1,497
DEMIND_ZEIT-2022;GRNU-AT313;1,673
DEMIND_ZEIT-2022;GRNU-AT314;1,582
DEMIND_ZEIT-2022;GRNU-AT315;1,542
DEMIND_ZEIT-2022;GRNU-AT321;1,704
DEMIND_ZEIT-2022;GRNU-AT322;1,645
DEMIND_ZEIT-2022;GRNU-AT323;1,401
DEMIND_ZEIT-2022;GRNU-AT331;1,379
DEMIND_ZEIT-2022;GRNU-AT332;1,286
DEMIND_ZEIT-2022;GRNU-AT333;1,730
DEMIND_ZEIT-2022;GRNU-AT334;1,637
DEMIND_ZEIT-2022;GRNU-AT335;1,541
DEMIND_ZEIT-2022;GRNU-AT341;1,641
