C-DEMIND_ZEIT-0;C-DEMIND_NUTS3-0;F-DEMIND_TFR
DEMIND_ZEIT-2004;GRNU-AT113;1,209
DEMIND_ZEIT-2004;GRNU-AT121;1,635
DEMIND_ZEIT-2004;GRNU-AT122;1,490
DEMIND_ZEIT-2004;GRNU-AT123;1,484
DEMIND_ZEIT-2004;GRNU-AT124;1,446
DEMIND_ZEIT-2004;GRNU-AT125;1,379
DEMIND_ZEIT-2004;GRNU-AT126;1,336
DEMIND_ZEIT-2004;GRNU-AT127;1,415
DEMIND_ZEIT-2004;GRNU-AT130;1,409
DEMIND_ZEIT-2004;GRNU-AT211;1,311
DEMIND_ZEIT-2004;GRNU-AT212;1,378
DEMIND_ZEIT-2004;GRNU-AT213;1,421
DEMIND_ZEIT-2004;GRNU-AT221;1,226
DEMIND_ZEIT-2004;GRNU-AT222;1,365
DEMIND_ZEIT-2004;GRNU-AT223;1,336
DEMIND_ZEIT-2004;GRNU-AT224;1,357
DEMIND_ZEIT-2004;GRNU-AT225;1,373
DEMIND_ZEIT-2004;GRNU-AT226;1,414
DEMIND_ZEIT-2004;GRNU-AT311;1,459
DEMIND_ZEIT-2004;GRNU-AT312;1,486
DEMIND_ZEIT-2004;GRNU-AT313;1,618
DEMIND_ZEIT-2004;GRNU-AT314;1,548
DEMIND_ZEIT-2004;GRNU-AT315;1,552
DEMIND_ZEIT-2004;GRNU-AT321;1,590
DEMIND_ZEIT-2004;GRNU-AT322;1,438
DEMIND_ZEIT-2004;GRNU-AT323;1,426
DEMIND_ZEIT-2004;GRNU-AT331;1,273
DEMIND_ZEIT-2004;GRNU-AT332;1,344
DEMIND_ZEIT-2004;GRNU-AT333;1,517
DEMIND_ZEIT-2004;GRNU-AT334;1,464
DEMIND_ZEIT-2004;GRNU-AT335;1,513
DEMIND_ZEIT-2004;GRNU-AT341;1,456
DEMIND_ZEIT-2004;GRNU-AT342;1,604
DEMIND_ZEIT-2004;GRNU-AT11;1,276
DEMIND_ZEIT-2004;GRNU-AT12;1,461
DEMIND_ZEIT-2004;GRNU-AT13;1,409
DEMIND_ZEIT-2004;GRNU-AT21;1,358
DEMIND_ZEIT-2004;GRNU-AT22;1,315
DEMIND_ZEIT-2004;GRNU-AT31;1,516
DEMIND_ZEIT-2004;GRNU-AT32;1,436
DEMIND_ZEIT-2004;GRNU-AT33;1,426
DEMIND_ZEIT-2004;GRNU-AT34;1,567
DEMIND_ZEIT-2004;GRNU-AT1;1,411
DEMIND_ZEIT-2004;GRNU-AT2;1,329
DEMIND_ZEIT-2004;GRNU-AT3;1,486
DEMIND_ZEIT-2004;GRNU-AT0;1,420
DEMIND_ZEIT-2005;GRNU-AT111;1,245
DEMIND_ZEIT-2005;GRNU-AT112;1,293
DEMIND_ZEIT-2005;GRNU-AT113;1,243
DEMIND_ZEIT-2005;GRNU-AT121;1,577
DEMIND_ZEIT-2005;GRNU-AT122;1,547
DEMIND_ZEIT-2005;GRNU-AT123;1,513
DEMIND_ZEIT-2005;GRNU-AT124;1,391
DEMIND_ZEIT-2005;GRNU-AT125;1,309
DEMIND_ZEIT-2005;GRNU-AT126;1,382
DEMIND_ZEIT-2005;GRNU-AT127;1,420
DEMIND_ZEIT-2005;GRNU-AT130;1,377
DEMIND_ZEIT-2005;GRNU-AT211;1,337
DEMIND_ZEIT-2005;GRNU-AT212;1,386
DEMIND_ZEIT-2005;GRNU-AT213;1,415
DEMIND_ZEIT-2005;GRNU-AT221;1,307
DEMIND_ZEIT-2005;GRNU-AT222;1,385
DEMIND_ZEIT-2005;GRNU-AT223;1,297
DEMIND_ZEIT-2005;GRNU-AT224;1,377
DEMIND_ZEIT-2005;GRNU-AT225;1,295
DEMIND_ZEIT-2005;GRNU-AT226;1,316
DEMIND_ZEIT-2005;GRNU-AT311;1,433
DEMIND_ZEIT-2005;GRNU-AT312;1,462
DEMIND_ZEIT-2005;GRNU-AT313;1,546
DEMIND_ZEIT-2005;GRNU-AT314;1,610
DEMIND_ZEIT-2005;GRNU-AT315;1,522
DEMIND_ZEIT-2005;GRNU-AT321;1,309
DEMIND_ZEIT-2005;GRNU-AT322;1,531
DEMIND_ZEIT-2005;GRNU-AT323;1,423
DEMIND_ZEIT-2005;GRNU-AT331;1,408
DEMIND_ZEIT-2005;GRNU-AT332;1,316
DEMIND_ZEIT-2005;GRNU-AT333;1,458
DEMIND_ZEIT-2005;GRNU-AT334;1,563
DEMIND_ZEIT-2005;GRNU-AT335;1,443
DEMIND_ZEIT-2005;GRNU-AT341;1,469
DEMIND_ZEIT-2005;GRNU-AT342;1,572
DEMIND_ZEIT-2005;GRNU-AT11;1,268
DEMIND_ZEIT-2005;GRNU-AT12;1,460
DEMIND_ZEIT-2005;GRNU-AT13;1,377
DEMIND_ZEIT-2005;GRNU-AT21;1,372
DEMIND_ZEIT-2005;GRNU-AT22;1,322
DEMIND_ZEIT-2005;GRNU-AT31;1,492
DEMIND_ZEIT-2005;GRNU-AT32;1,452
DEMIND_ZEIT-2005;GRNU-AT33;1,405
DEMIND_ZEIT-2005;GRNU-AT34;1,546
DEMIND_ZEIT-2005;GRNU-AT1;1,394
DEMIND_ZEIT-2005;GRNU-AT2;1,338
DEMIND_ZEIT-2005;GRNU-AT3;1,471
DEMIND_ZEIT-2005;GRNU-AT0;1,409
DEMIND_ZEIT-2006;GRNU-AT111;1,209
DEMIND_ZEIT-2006;GRNU-AT112;1,267
DEMIND_ZEIT-2006;GRNU-AT113;1,230
DEMIND_ZEIT-2006;GRNU-AT121;1,588
DEMIND_ZEIT-2006;GRNU-AT122;1,507
DEMIND_ZEIT-2006;GRNU-AT123;1,511
DEMIND_ZEIT-2006;GRNU-AT124;1,395
DEMIND_ZEIT-2006;GRNU-AT125;1,273
DEMIND_ZEIT-2006;GRNU-AT126;1,384
DEMIND_ZEIT-2006;GRNU-AT127;1,463
DEMIND_ZEIT-2006;GRNU-AT130;1,395
DEMIND_ZEIT-2006;GRNU-AT211;1,351
DEMIND_ZEIT-2006;GRNU-AT212;1,449
DEMIND_ZEIT-2006;GRNU-AT213;1,528
DEMIND_ZEIT-2006;GRNU-AT221;1,283
DEMIND_ZEIT-2006;GRNU-AT222;1,430
DEMIND_ZEIT-2006;GRNU-AT223;1,346
DEMIND_ZEIT-2006;GRNU-AT224;1,343
DEMIND_ZEIT-2006;GRNU-AT225;1,248
DEMIND_ZEIT-2006;GRNU-AT226;1,352
DEMIND_ZEIT-2006;GRNU-AT311;1,435
DEMIND_ZEIT-2006;GRNU-AT312;1,466
DEMIND_ZEIT-2006;GRNU-AT313;1,617
DEMIND_ZEIT-2006;GRNU-AT314;1,554
DEMIND_ZEIT-2006;GRNU-AT315;1,479
DEMIND_ZEIT-2006;GRNU-AT321;1,578
DEMIND_ZEIT-2006;GRNU-AT322;1,386
DEMIND_ZEIT-2006;GRNU-AT323;1,392
DEMIND_ZEIT-2006;GRNU-AT331;1,365
DEMIND_ZEIT-2006;GRNU-AT332;1,303
DEMIND_ZEIT-2006;GRNU-AT333;1,497
DEMIND_ZEIT-2006;GRNU-AT334;1,528
DEMIND_ZEIT-2006;GRNU-AT335;1,491
DEMIND_ZEIT-2006;GRNU-AT341;1,487
DEMIND_ZEIT-2006;GRNU-AT342;1,527
DEMIND_ZEIT-2006;GRNU-AT11;1,247
DEMIND_ZEIT-2006;GRNU-AT12;1,461
DEMIND_ZEIT-2006;GRNU-AT13;1,395
DEMIND_ZEIT-2006;GRNU-AT21;1,423
DEMIND_ZEIT-2006;GRNU-AT22;1,310
DEMIND_ZEIT-2006;GRNU-AT31;1,492
DEMIND_ZEIT-2006;GRNU-AT32;1,396
DEMIND_ZEIT-2006;GRNU-AT33;1,412
DEMIND_ZEIT-2006;GRNU-AT34;1,518
DEMIND_ZEIT-2006;GRNU-AT1;1,402
DEMIND_ZEIT-2006;GRNU-AT2;1,345
DEMIND_ZEIT-2006;GRNU-AT3;1,458
DEMIND_ZEIT-2006;GRNU-AT0;1,410
DEMIND_ZEIT-2007;GRNU-AT111;1,338
DEMIND_ZEIT-2007;GRNU-AT112;1,278
DEMIND_ZEIT-2007;GRNU-AT113;1,290
DEMIND_ZEIT-2007;GRNU-AT121;1,461
DEMIND_ZEIT-2007;GRNU-AT122;1,470
DEMIND_ZEIT-2007;GRNU-AT123;1,494
DEMIND_ZEIT-2007;GRNU-AT124;1,409
DEMIND_ZEIT-2007;GRNU-AT125;1,351
DEMIND_ZEIT-2007;GRNU-AT126;1,340
DEMIND_ZEIT-2007;GRNU-AT127;1,352
DEMIND_ZEIT-2007;GRNU-AT130;1,366
DEMIND_ZEIT-2007;GRNU-AT211;1,356
DEMIND_ZEIT-2007;GRNU-AT212;1,330
DEMIND_ZEIT-2007;GRNU-AT213;1,456
DEMIND_ZEIT-2007;GRNU-AT221;1,283
DEMIND_ZEIT-2007;GRNU-AT222;1,375
DEMIND_ZEIT-2007;GRNU-AT223;1,274
DEMIND_ZEIT-2007;GRNU-AT224;1,374
DEMIND_ZEIT-2007;GRNU-AT225;1,253
DEMIND_ZEIT-2007;GRNU-AT226;1,350
DEMIND_ZEIT-2007;GRNU-AT311;1,404
DEMIND_ZEIT-2007;GRNU-AT312;1,452
DEMIND_ZEIT-2007;GRNU-AT313;1,571
DEMIND_ZEIT-2007;GRNU-AT314;1,573
DEMIND_ZEIT-2007;GRNU-AT315;1,489
DEMIND_ZEIT-2007;GRNU-AT321;1,492
DEMIND_ZEIT-2007;GRNU-AT322;1,467
DEMIND_ZEIT-2007;GRNU-AT323;1,384
DEMIND_ZEIT-2007;GRNU-AT331;1,279
DEMIND_ZEIT-2007;GRNU-AT332;1,284
DEMIND_ZEIT-2007;GRNU-AT333;1,373
DEMIND_ZEIT-2007;GRNU-AT334;1,596
DEMIND_ZEIT-2007;GRNU-AT335;1,408
DEMIND_ZEIT-2007;GRNU-AT341;1,344
DEMIND_ZEIT-2007;GRNU-AT342;1,515
DEMIND_ZEIT-2007;GRNU-AT11;1,289
DEMIND_ZEIT-2007;GRNU-AT12;1,410
DEMIND_ZEIT-2007;GRNU-AT13;1,366
DEMIND_ZEIT-2007;GRNU-AT21;1,379
DEMIND_ZEIT-2007;GRNU-AT22;1,304
DEMIND_ZEIT-2007;GRNU-AT31;1,478
DEMIND_ZEIT-2007;GRNU-AT32;1,413
DEMIND_ZEIT-2007;GRNU-AT33;1,374
DEMIND_ZEIT-2007;GRNU-AT34;1,474
DEMIND_ZEIT-2007;GRNU-AT1;1,369
DEMIND_ZEIT-2007;GRNU-AT2;1,327
DEMIND_ZEIT-2007;GRNU-AT3;1,440
DEMIND_ZEIT-2007;GRNU-AT0;1,385
DEMIND_ZEIT-2008;GRNU-AT111;1,269
DEMIND_ZEIT-2008;GRNU-AT112;1,337
DEMIND_ZEIT-2008;GRNU-AT113;1,301
DEMIND_ZEIT-2008;GRNU-AT121;1,625
DEMIND_ZEIT-2008;GRNU-AT122;1,490
DEMIND_ZEIT-2008;GRNU-AT123;1,503
DEMIND_ZEIT-2008;GRNU-AT124;1,421
DEMIND_ZEIT-2008;GRNU-AT125;1,359
DEMIND_ZEIT-2008;GRNU-AT126;1,408
DEMIND_ZEIT-2008;GRNU-AT127;1,381
DEMIND_ZEIT-2008;GRNU-AT130;1,395
DEMIND_ZEIT-2008;GRNU-AT211;1,378
DEMIND_ZEIT-2008;GRNU-AT212;1,364
DEMIND_ZEIT-2008;GRNU-AT213;1,461
DEMIND_ZEIT-2008;GRNU-AT221;1,316
DEMIND_ZEIT-2008;GRNU-AT222;1,383
DEMIND_ZEIT-2008;GRNU-AT223;1,274
DEMIND_ZEIT-2008;GRNU-AT224;1,360
DEMIND_ZEIT-2008;GRNU-AT225;1,318
DEMIND_ZEIT-2008;GRNU-AT226;1,388
DEMIND_ZEIT-2008;GRNU-AT311;1,450
DEMIND_ZEIT-2008;GRNU-AT312;1,513
DEMIND_ZEIT-2008;GRNU-AT313;1,591
DEMIND_ZEIT-2008;GRNU-AT314;1,515
DEMIND_ZEIT-2008;GRNU-AT315;1,538
DEMIND_ZEIT-2008;GRNU-AT321;1,444
DEMIND_ZEIT-2008;GRNU-AT322;1,466
DEMIND_ZEIT-2008;GRNU-AT323;1,429
DEMIND_ZEIT-2008;GRNU-AT331;1,319
DEMIND_ZEIT-2008;GRNU-AT332;1,322
DEMIND_ZEIT-2008;GRNU-AT333;1,385
DEMIND_ZEIT-2008;GRNU-AT334;1,478
DEMIND_ZEIT-2008;GRNU-AT335;1,466
DEMIND_ZEIT-2008;GRNU-AT341;1,524
DEMIND_ZEIT-2008;GRNU-AT342;1,509
DEMIND_ZEIT-2008;GRNU-AT11;1,315
DEMIND_ZEIT-2008;GRNU-AT12;1,463
DEMIND_ZEIT-2008;GRNU-AT13;1,395
DEMIND_ZEIT-2008;GRNU-AT21;1,398
DEMIND_ZEIT-2008;GRNU-AT22;1,325
DEMIND_ZEIT-2008;GRNU-AT31;1,515
DEMIND_ZEIT-2008;GRNU-AT32;1,439
DEMIND_ZEIT-2008;GRNU-AT33;1,395
DEMIND_ZEIT-2008;GRNU-AT34;1,512
DEMIND_ZEIT-2008;GRNU-AT1;1,407
DEMIND_ZEIT-2008;GRNU-AT2;1,347
DEMIND_ZEIT-2008;GRNU-AT3;1,472
DEMIND_ZEIT-2008;GRNU-AT0;1,417
DEMIND_ZEIT-2009;GRNU-AT111;1,366
DEMIND_ZEIT-2009;GRNU-AT112;1,261
DEMIND_ZEIT-2009;GRNU-AT113;1,249
DEMIND_ZEIT-2009;GRNU-AT121;1,552
DEMIND_ZEIT-2009;GRNU-AT122;1,381
DEMIND_ZEIT-2009;GRNU-AT123;1,353
DEMIND_ZEIT-2009;GRNU-AT124;1,463
DEMIND_ZEIT-2009;GRNU-AT125;1,265
DEMIND_ZEIT-2009;GRNU-AT126;1,415
DEMIND_ZEIT-2009;GRNU-AT127;1,418
DEMIND_ZEIT-2009;GRNU-AT130;1,371
DEMIND_ZEIT-2009;GRNU-AT211;1,324
DEMIND_ZEIT-2009;GRNU-AT212;1,365
DEMIND_ZEIT-2009;GRNU-AT213;1,464
DEMIND_ZEIT-2009;GRNU-AT221;1,267
DEMIND_ZEIT-2009;GRNU-AT222;1,416
DEMIND_ZEIT-2009;GRNU-AT223;1,285
DEMIND_ZEIT-2009;GRNU-AT224;1,384
DEMIND_ZEIT-2009;GRNU-AT225;1,344
DEMIND_ZEIT-2009;GRNU-AT226;1,470
DEMIND_ZEIT-2009;GRNU-AT311;1,475
DEMIND_ZEIT-2009;GRNU-AT312;1,467
DEMIND_ZEIT-2009;GRNU-AT313;1,565
DEMIND_ZEIT-2009;GRNU-AT314;1,601
DEMIND_ZEIT-2009;GRNU-AT315;1,550
DEMIND_ZEIT-2009;GRNU-AT321;1,426
DEMIND_ZEIT-2009;GRNU-AT322;1,397
DEMIND_ZEIT-2009;GRNU-AT323;1,396
DEMIND_ZEIT-2009;GRNU-AT331;1,408
DEMIND_ZEIT-2009;GRNU-AT332;1,293
DEMIND_ZEIT-2009;GRNU-AT333;1,408
DEMIND_ZEIT-2009;GRNU-AT334;1,380
DEMIND_ZEIT-2009;GRNU-AT335;1,503
DEMIND_ZEIT-2009;GRNU-AT341;1,472
DEMIND_ZEIT-2009;GRNU-AT342;1,527
DEMIND_ZEIT-2009;GRNU-AT11;1,270
DEMIND_ZEIT-2009;GRNU-AT12;1,426
DEMIND_ZEIT-2009;GRNU-AT13;1,371
DEMIND_ZEIT-2009;GRNU-AT21;1,371
DEMIND_ZEIT-2009;GRNU-AT22;1,323
DEMIND_ZEIT-2009;GRNU-AT31;1,508
DEMIND_ZEIT-2009;GRNU-AT32;1,398
DEMIND_ZEIT-2009;GRNU-AT33;1,385
DEMIND_ZEIT-2009;GRNU-AT34;1,514
DEMIND_ZEIT-2009;GRNU-AT1;1,374
DEMIND_ZEIT-2009;GRNU-AT2;1,337
DEMIND_ZEIT-2009;GRNU-AT3;1,459
DEMIND_ZEIT-2009;GRNU-AT0;1,396
DEMIND_ZEIT-2010;GRNU-AT111;1,160
DEMIND_ZEIT-2010;GRNU-AT112;1,331
DEMIND_ZEIT-2010;GRNU-AT113;1,250
DEMIND_ZEIT-2010;GRNU-AT121;1,594
DEMIND_ZEIT-2010;GRNU-AT122;1,501
DEMIND_ZEIT-2010;GRNU-AT123;1,459
DEMIND_ZEIT-2010;GRNU-AT124;1,356
DEMIND_ZEIT-2010;GRNU-AT125;1,363
DEMIND_ZEIT-2010;GRNU-AT126;1,491
DEMIND_ZEIT-2010;GRNU-AT127;1,445
DEMIND_ZEIT-2010;GRNU-AT130;1,425
DEMIND_ZEIT-2010;GRNU-AT211;1,394
DEMIND_ZEIT-2010;GRNU-AT212;1,407
DEMIND_ZEIT-2010;GRNU-AT213;1,503
DEMIND_ZEIT-2010;GRNU-AT221;1,349
DEMIND_ZEIT-2010;GRNU-AT222;1,366
DEMIND_ZEIT-2010;GRNU-AT223;1,370
DEMIND_ZEIT-2010;GRNU-AT224;1,432
DEMIND_ZEIT-2010;GRNU-AT225;1,330
DEMIND_ZEIT-2010;GRNU-AT226;1,373
DEMIND_ZEIT-2010;GRNU-AT311;1,497
DEMIND_ZEIT-2010;GRNU-AT312;1,563
DEMIND_ZEIT-2010;GRNU-AT313;1,620
DEMIND_ZEIT-2010;GRNU-AT314;1,637
DEMIND_ZEIT-2010;GRNU-AT315;1,496
DEMIND_ZEIT-2010;GRNU-AT321;1,581
DEMIND_ZEIT-2010;GRNU-AT322;1,545
DEMIND_ZEIT-2010;GRNU-AT323;1,435
DEMIND_ZEIT-2010;GRNU-AT331;1,398
DEMIND_ZEIT-2010;GRNU-AT332;1,356
DEMIND_ZEIT-2010;GRNU-AT333;1,512
DEMIND_ZEIT-2010;GRNU-AT334;1,401
DEMIND_ZEIT-2010;GRNU-AT335;1,532
DEMIND_ZEIT-2010;GRNU-AT341;1,564
DEMIND_ZEIT-2010;GRNU-AT342;1,556
DEMIND_ZEIT-2010;GRNU-AT11;1,282
DEMIND_ZEIT-2010;GRNU-AT12;1,473
DEMIND_ZEIT-2010;GRNU-AT13;1,425
DEMIND_ZEIT-2010;GRNU-AT21;1,427
DEMIND_ZEIT-2010;GRNU-AT22;1,359
DEMIND_ZEIT-2010;GRNU-AT31;1,554
DEMIND_ZEIT-2010;GRNU-AT32;1,471
DEMIND_ZEIT-2010;GRNU-AT33;1,429
DEMIND_ZEIT-2010;GRNU-AT34;1,557
DEMIND_ZEIT-2010;GRNU-AT1;1,423
DEMIND_ZEIT-2010;GRNU-AT2;1,379
DEMIND_ZEIT-2010;GRNU-AT3;1,509
DEMIND_ZEIT-2010;GRNU-AT0;1,444
DEMIND_ZEIT-2011;GRNU-AT111;1,376
DEMIND_ZEIT-2011;GRNU-AT112;1,312
DEMIND_ZEIT-2011;GRNU-AT113;1,206
DEMIND_ZEIT-2011;GRNU-AT121;1,558
DEMIND_ZEIT-2011;GRNU-AT122;1,506
DEMIND_ZEIT-2011;GRNU-AT123;1,481
DEMIND_ZEIT-2011;GRNU-AT124;1,452
DEMIND_ZEIT-2011;GRNU-AT125;1,448
DEMIND_ZEIT-2011;GRNU-AT126;1,462
DEMIND_ZEIT-2011;GRNU-AT127;1,424
DEMIND_ZEIT-2011;GRNU-AT130;1,424
DEMIND_ZEIT-2011;GRNU-AT211;1,378
DEMIND_ZEIT-2011;GRNU-AT212;1,374
DEMIND_ZEIT-2011;GRNU-AT213;1,466
DEMIND_ZEIT-2011;GRNU-AT221;1,259
DEMIND_ZEIT-2011;GRNU-AT222;1,345
DEMIND_ZEIT-2011;GRNU-AT223;1,306
DEMIND_ZEIT-2011;GRNU-AT224;1,494
DEMIND_ZEIT-2011;GRNU-AT225;1,352
DEMIND_ZEIT-2011;GRNU-AT226;1,430
DEMIND_ZEIT-2011;GRNU-AT311;1,422
DEMIND_ZEIT-2011;GRNU-AT312;1,537
DEMIND_ZEIT-2011;GRNU-AT313;1,627
DEMIND_ZEIT-2011;GRNU-AT314;1,574
DEMIND_ZEIT-2011;GRNU-AT315;1,524
DEMIND_ZEIT-2011;GRNU-AT321;1,393
DEMIND_ZEIT-2011;GRNU-AT322;1,567
DEMIND_ZEIT-2011;GRNU-AT323;1,417
DEMIND_ZEIT-2011;GRNU-AT331;1,411
DEMIND_ZEIT-2011;GRNU-AT332;1,314
DEMIND_ZEIT-2011;GRNU-AT333;1,439
DEMIND_ZEIT-2011;GRNU-AT334;1,443
DEMIND_ZEIT-2011;GRNU-AT335;1,522
DEMIND_ZEIT-2011;GRNU-AT341;1,425
DEMIND_ZEIT-2011;GRNU-AT342;1,559
DEMIND_ZEIT-2011;GRNU-AT11;1,284
DEMIND_ZEIT-2011;GRNU-AT12;1,480
DEMIND_ZEIT-2011;GRNU-AT13;1,424
DEMIND_ZEIT-2011;GRNU-AT21;1,401
DEMIND_ZEIT-2011;GRNU-AT22;1,334
DEMIND_ZEIT-2011;GRNU-AT31;1,528
DEMIND_ZEIT-2011;GRNU-AT32;1,460
DEMIND_ZEIT-2011;GRNU-AT33;1,410
DEMIND_ZEIT-2011;GRNU-AT34;1,527
DEMIND_ZEIT-2011;GRNU-AT1;1,425
DEMIND_ZEIT-2011;GRNU-AT2;1,354
DEMIND_ZEIT-2011;GRNU-AT3;1,487
DEMIND_ZEIT-2011;GRNU-AT0;1,432
DEMIND_ZEIT-2012;GRNU-AT111;1,282
DEMIND_ZEIT-2012;GRNU-AT112;1,353
DEMIND_ZEIT-2012;GRNU-AT113;1,215
DEMIND_ZEIT-2012;GRNU-AT121;1,603
DEMIND_ZEIT-2012;GRNU-AT122;1,508
DEMIND_ZEIT-2012;GRNU-AT123;1,427
DEMIND_ZEIT-2012;GRNU-AT124;1,436
DEMIND_ZEIT-2012;GRNU-AT125;1,398
DEMIND_ZEIT-2012;GRNU-AT126;1,458
DEMIND_ZEIT-2012;GRNU-AT127;1,479
DEMIND_ZEIT-2012;GRNU-AT130;1,405
DEMIND_ZEIT-2012;GRNU-AT211;1,384
DEMIND_ZEIT-2012;GRNU-AT212;1,376
DEMIND_ZEIT-2012;GRNU-AT213;1,490
DEMIND_ZEIT-2012;GRNU-AT221;1,276
DEMIND_ZEIT-2012;GRNU-AT222;1,431
